text,label
Уклонист Иван Федотов. По всему Петербургу полиция ищет вратаря сборной России по хоккею,sport
Олег Знарок назначен главным тренером «Ак Барса»,sport
Дочь Тутберидзе фигуристка Дэвис и Глеб Смолкин продолжат выступать за Россию,sport
«Зенит» подписал сочинского бомбардира и показал его с голым торсом,sport
«Зенит» разгромил ЦСКА перед Суперкубком с другой московской командой,sport
Российские фигуристы Диана Дэвис и Глеб Смолкин поженились в США,sport
«Зенит» и бразильский клуб договорились об обмене игроками,sport
Владелец «Спартака» Федун покинул пост вице-президента «Лукойла»,sport
По рекам и каналам Петербурга «на максималках». Зарегистрируйся на кубок «Фонтанка CUP» по низкой цене,sport
В Свердловской области во время мотокросса гонщики на полной скорости въехали в толпу,sport
Российских теннисистов могут допустить на Уимблдон уже в 2023 году,sport
РФС и РПЛ сделали заявление по поводу решения ФИФА приостановить контракты легионеров,sport
"В Петербурге прошел экспериментальный футбольный турнир, в котором игра была важнее результата",sport
Как скрасить ожидание карнавала «Фонтанка SUP». Участвуй в фотоконкурсах фестиваля!,sport
"«Спартак» объявил, что готов сыграть с «Зенитом» за Суперкубок в Петербурге",sport
Футбольный кубок PARI Премьер стартовал в Петербурге в пятый раз — с победы «Зенита»,sport
Стал известен размер возможной зарплаты Дзюбы в «Фенербахче»,sport
ФИФА разрешила футбольным легионерам приостанавливать контракты с российскими клубами еще год,sport
Больше не в команде и без зарплаты. Бывший русский пилот «Формулы-1» подал в суд на американскую команду,sport
«Мисс SUP — 2022»: ищем самую обаятельную на доске с веслом,sport
Попробуй свои силы на первом в истории Петербурга кубке по сапсерфингу «Фонтанка CUP»,sport
Daily Mail: ФИФА собирается облегчить правила для транс-женщин,sport
Теннисист Даниил Медведев проиграл в финале турнира ATP в Германии,sport
Российский боксер Бетербиев победил в США и получил три чемпионских пояса,sport
Россиянин Даниил Медведев пробился в финал турнира в Германии,sport
"ФИФА перечислила 16 городов, где пройдут матчи ЧМ-2026",sport
"«Сейчас эти принципы попираются». Гендиректор «Зенита» вспомнил, как ФИФА защищала Пиночета",sport
"«Могу ответить за свои слова». В «Зените» новый воспитанник «Спартака» Бакаев, и вокруг него уже горячо",sport
Баскетбольная Евролига отстранила российские клубы от участия в новом сезоне,sport
Бывший футболист «Спартака» Бакаев приехал на свою презентацию в «Зените» с двумя охранниками,sport
Психологическое и физическое насилие. Около 400 британских гимнасток пожаловались на тренеров,sport
«Хочется выиграть все». «Зенит» показал Бакаева в сине-бело-голубой майке,sport
«Зенит» расстался с вратарем Крицюком из-за его проблем со здоровьем,sport
Конкурсы «Фонтанка SUP-2022». Три простых шага к победе,sport
«Результатом очень довольна». Фигуристка Анна Щербакова рассказала о баллах ЕГЭ по русскому языку,sport
Бегуны перекроют центр Петербурга поутру,sport
«Зенит» подписал контракт с воспитанником «Спартака» Бакаевым,sport
"Экс-футболист «Зенита» Денисов: Лучше в России в лесу, чем на вилле в Испании",sport
Ротенберг отпустил тренера Федотова в ЦСКА,sport
"Россиянам и белорусам разрешили выступить на Открытом чемпионате США по теннису, но с одним условием",sport
Новости компаний,sport
В Сальвадоре футболисты до смерти забили судью во время матча,sport
Лимит на легионеров в Единой лиге ВТБ стал жестче,sport
"«До этой победы плакал, только когда у меня дети рождались». Разговор с Сергеем Карасевым — одним из лучших игроков баскетбольного «Зенита»",sport
Петербуржцы привезли медали с чемпионата России по выездке,sport
"Вратаря сборной Кот-д’Ивуара дисквалифицировали за тот же допинг, что нашли у Валиевой",sport
Суд обязал экс-нападающего «Зенита» выплачивать алименты бывшей девушке,sport
"«Зенит» вернулся из отпуска, но легионеры ещё отдыхают",sport
В «Зените» рассказали о переносе концерта группы «Руки вверх» из-за Суперкубка,sport
"Глава финала ЛЧ в Петербурге объяснил, почему город победил в борьбе за Суперкубок",sport
«Вариант невозможен». Группе «Руки вверх» придется перенести концерт на «Газпром арене» из-за Суперкубка,sport
РФС назвал дату начала нового сезона чемпионата России по футболу,sport
«Зенит» и «Спартак» сойдутся в Петербурге. Игра за Суперкубок пройдет на берегах Невы,sport
"«Даже на чемпионате России все гораздо скромнее». Все, что вы хотели знать о первом в истории Кубке «Фонтанки»",sport
Главным тренером «Спартака» стал испанец Гильермо Абаскаль,sport
Путин поручил увеличить отчисления от азартных игр на развитие спорта и проводить «коммерчески привлекательные турниры»,sport
«Спартак» остаётся без главного тренера перед матчем за Суперкубок с «Зенитом»,sport
Ассоциация мини-футбола Севастополя официально стала членом Всероссийской федерации,sport
Фигуристка Трусова перешла в легкую атлетику и заняла последнее место в прыжках в длину,sport
Баскетбольный «Зенит» по-чемпионски закрыл сезон,sport
"Названы города, претендующие на проведение Суперкубка. Петербург — в списке",sport
ФК «Алмаз-Антей» покоряет Юношескую футбольную лигу Северо-Запада,sport
"«Зенит» назвал лучшего игрока сезона. Посмотрите, как он забивал и превращал стадионы в карнавал",sport
«Держитесь крепче. Дочь Тутберидзе будет представлять США». В фигурном катании снова взорвали бомбу,sport
Большие перемены. ISU принял решение о минимальном возрасте взрослых фигуристов,sport
"Правило «4Ж», или Кержаков снова женился",sport
"Федун: «Спартак» был обречен, чемпионат зациклен только на чемпионство одной команды",sport
Международный союз конькобежцев допустил россиян до участия в конгрессе,sport
"«Кто чемпионы?» Смотрите, как фанаты встретили баскетбольный «Зенит» с чемпионским кубком",sport
Рафаэль Надаль выиграл Roland Garros-2022,sport
Болельщики БК «Зенит» едут встречать чемпионов в Пулково-2,sport
"«Зенит» — чемпион. Теперь и баскетбольный. Смотрите, как это было",sport
Историческая победа. «Зенит» обыграл ЦСКА в финале и впервые стал чемпионом Единой лиги ВТБ,sport
Седьмая игра «Зенита» и ЦСКА установила рекорд посещаемости Единой лиги ВТБ,sport
Баскетбольный «Зенит» остался без главного тренера в решающем матче финала Единой лиги ВТБ против ЦСКА,sport
Источник: Закон о Fan ID в России хотят отменить,sport
"Только фанаты не увидели. Сборной Венгрии по футболу понадобилось 60 лет, чтобы обыграть англичан",sport
Продолжается регистрация на Петровский гребной марафон — крупнейший в России,sport
ЦСКА не дает болельщикам БК «Зенит» купить билеты на решающую игру финала,sport
УЕФА извиняется перед болельщиками после финала Лиги чемпионов и проводит расследование,sport
Роман Ротенберг: Много раз обсуждали с Радуловым переход в СКА,sport
Новости компаний,sport
«Хочу стать лучшей гимнасткой». Мечты юных спортсменок с Петровского метко зависли по дороге к небу,sport
"Ротенберг: Если Гусев не вернется в НХЛ, в России у него только один вариант — это СКА",sport
"Трусова — в легкой атлетике. Фигуристка выступит в соревнованиях по прыжкам и, возможно, в спринте",sport
"«Не исключаю, что наш состав способен выигрывать и без легионеров». Роман Ротенберг о том, как СКА становится сильнее",sport
Фестиваль «Фонтанка SUP» возвращается в Петербург с гонкой на кубок «Фонтанки». Регистрация открыта,sport
«Зенит» получил кубок чемпионов России на вечное хранение,sport
«Такого никогда не было». Как «Зенит» совершил невозможное и прибил ЦСКА,sport
Баскетбольный «Зенит» обыграл ЦСКА в шестом матче финала Единой лиги ВТБ и сравнял счет в серии,sport
Футбольный вираж пришел поддержать баскетбольный «Зенит» в финале Единой лиги ВТБ против ЦСКА,sport
На матче баскетбольного финала «Зенит» — ЦСКА в Петербурге зафиксирован журналистский рекорд,sport
Бивол и Розенбаум придут поддержать баскетбольный «Зенит» в шестом матче финала с ЦСКА,sport
Легенда «Зенита» Александр Кержаков остался без работы,sport
Пловчиха-трансгендер Лиа Томас: Трансженщины не угрожают женскому спорту,sport
"На «Газпром Арене» установили экспозицию, посвященную блокадным матчам",sport
Билеты на шестую игру финальной серии Единой лиги ВТБ «Зенит» — ЦСКА раскупили за два часа,sport
Баскетбольный «Зенит» отыграл 13 очков и победил ЦСКА в пятом матче финальной серии,sport
"Российский тренер получил два года дисквалификации за то, что сравнил темнокожую волейболистку с обезьяной",sport
Битва при «Олимпийских надеждах». За что жители Приморского района сражаются с «Зенитом»,sport
Финны дома выиграли чемпионат мира по хоккею,sport
Московский «Спартак» впервые за 19 лет завоевал Кубок России,sport
"Чехия взяла бронзу чемпионата мира по хоккею, забросив США восемь шайб",sport
«Реал» стал победителем Лиги чемпионов пока болельщики громили Париж,sport
Начало финала Лиги чемпионов отложили из-за разбушевавшихся фанатов,sport
Гроссмейстер Карпов одновременно сыграл с 15 студентами в СПбГУ,sport
Fan ID начнет действовать в российском футболе с начала нового сезона,sport
Президент РФС поддержал продажу пива на стадионах в России,sport
